date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2021-11-26,3576.11,3576.11,3564.09,3554.88,3010000.75,-20.09,-0.56,3582.428,3558.568,3536.138,3268495.65,3164817.9,3234258.1
2021-11-25,3593.39,3597.15,3584.18,3579.53,3064515.25,-8.52,-0.24,3581.684,3556.069,3535.3,3302475.45,3172501.18,3263162.75
2021-11-24,3590.02,3602.74,3592.7,3575.29,3367752.5,3.61,0.1,3568.99,3550.93,3532.012,3314426.25,3188137.6,3299022.83
2021-11-23,3580.51,3598.37,3589.09,3577.36,3600116.0,7.01,0.2,3557.924,3540.906,3530.493,3194347.1,3158393.05,3305945.68
2021-11-22,3562.76,3585.19,3582.08,3562.75,3300093.75,21.71,0.61,3544.464,3532.697,3530.92,3095123.7,3085697.45,3294579.03
2021-11-19,3519.28,3561.91,3560.37,3517.65,3179899.75,39.66,1.13,3534.708,3524.352,3532.309,3061140.15,3053871.8,3290172.75
2021-11-18,3531.49,3537.98,3520.71,3513.11,3124269.25,-16.66,-0.47,3530.454,3517.472,3533.421,3042526.9,3090415.4,3307756.36
2021-11-17,3518.56,3537.51,3537.37,3513.52,2767356.75,15.58,0.44,3532.87,3518.088,3537.124,3061848.95,3097429.3,3327698.34
2021-11-16,3530.46,3549.77,3521.79,3517.81,3103999.0,-11.51,-0.33,3523.888,3514.205,3539.606,3122439.0,3127301.3,3361453.0
2021-11-15,3542.9,3550.44,3533.3,3521.29,3130176.0,-5.8,-0.16,3520.93,3512.589,3543.174,3076271.2,3234464.58,3373351.88
2021-11-12,3534.15,3543.65,3539.1,3527.39,3086833.5,6.31,0.18,3513.996,3513.707,3544.916,3046603.45,3303698.3,3387318.39
2021-11-11,3486.45,3534.2,3532.79,3482.83,3220879.5,40.33,1.16,3504.49,3514.531,3546.579,3138303.9,3353824.33,3393123.2
2021-11-10,3498.94,3498.94,3492.46,3448.44,3070307.0,-14.54,-0.41,3503.306,3513.094,3547.854,3133009.65,3409908.05,3379563.83
2021-11-09,3507.11,3514.95,3507.0,3489.04,2873160.0,8.37,0.24,3504.522,3520.079,3551.319,3132163.6,3453498.3,3388573.81
2021-11-08,3491.97,3507.27,3498.63,3484.24,2981837.25,7.06,0.2,3504.248,3529.143,3553.316,3392657.95,3503460.6,3447612.69
2021-11-05,3520.21,3525.87,3491.57,3491.46,3545335.75,-35.3,-1.0,3513.418,3540.266,3557.97,3560793.15,3526473.7,3495701.4
2021-11-04,3505.89,3527.95,3526.87,3503.01,3194408.25,28.33,0.81,3524.572,3549.369,3563.0,3569344.75,3525097.33,3522015.19
2021-11-03,3501.11,3512.61,3498.54,3480.49,3066076.75,-7.09,-0.2,3522.882,3556.16,3565.065,3686806.45,3557967.38,3560109.59
2021-11-02,3543.38,3559.05,3505.63,3477.66,4175631.75,-38.85,-1.1,3535.636,3565.006,3566.952,3774833.0,3595604.7,3633061.33
2021-11-01,3530.4,3556.59,3544.48,3519.29,3822513.25,-2.86,-0.08,3554.038,3573.758,3571.782,3614263.25,3512239.18,3646364.14
2021-10-29,3519.33,3547.34,3547.34,3502.8,3588093.75,28.92,0.82,3567.114,3576.124,3573.699,3492154.25,3470938.48,3710639.88
2021-10-28,3548.7,3552.04,3518.42,3509.49,3781716.75,-43.89,-1.23,3574.166,3578.627,3576.986,3480849.9,3432422.08,3784887.56
2021-10-27,3589.86,3589.86,3562.31,3553.13,3506209.5,-35.33,-0.98,3589.438,3582.613,3583.176,3429128.3,3349219.6,3863299.48
2021-10-26,3612.83,3625.02,3597.64,3589.71,3372783.0,-12.22,-0.34,3594.376,3582.558,3586.485,3416376.4,3323649.33,3924137.03
2021-10-25,3574.26,3611.09,3609.86,3564.21,3211968.25,27.26,0.76,3593.478,3577.488,3587.301,3410215.1,3391764.78,4013922.98
2021-10-22,3594.75,3607.58,3582.6,3578.76,3531572.0,-12.18,-0.34,3585.134,3575.673,3587.163,3449722.7,3464929.1,4126695.29
2021-10-21,3590.05,3610.96,3594.78,3576.35,3523108.75,7.78,0.22,3583.088,3576.63,3590.844,3383994.25,3518933.05,4187601.69
2021-10-20,3583.24,3596.05,3587.0,3574.3,3442450.0,-6.15,-0.17,3575.788,3573.969,3594.235,3269310.9,3562251.8,4293922.45
2021-10-19,3562.3,3596.79,3593.15,3560.62,3341976.5,25.01,0.7,3570.74,3568.898,3600.653,3230922.25,3670517.95,4400541.95
2021-10-18,3571.05,3571.05,3568.14,3539.48,3409506.25,-4.23,-0.12,3561.498,3569.805,3606.151,3373314.45,3780489.1,4551043.35
2021-10-15,3551.99,3578.77,3572.37,3542.69,3202929.75,14.09,0.4,3566.212,3571.274,3612.401,3480135.5,3950341.28,4682973.21
2021-10-14,3555.11,3569.69,3558.28,3547.18,2949692.0,-3.48,-0.1,3570.172,3575.344,3617.542,3653871.85,4137353.05,4816044.83
2021-10-13,3543.49,3569.13,3561.76,3515.65,3250506.75,14.82,0.42,3572.15,3583.738,3623.457,3855192.7,4377379.35,4942421.18
2021-10-12,3581.3,3583.64,3546.94,3515.14,4053937.5,-44.77,-1.25,3567.056,3590.411,3626.462,4110113.65,4524624.73,5040752.49
2021-10-11,3600.36,3614.7,3591.71,3586.75,3943611.5,-0.46,-0.01,3578.112,3597.114,3628.202,4187663.75,4636081.18,5145321.79
2021-10-08,3609.09,3612.55,3592.17,3571.73,4071611.5,24.0,0.67,3576.336,3598.652,3628.468,4420547.05,4788461.48,5234483.24
