date,open,close,high,low,volume
2007-07-27,4315.37,4345.36,4357.34,4268.79,10024
2007-07-30,4348.61,4440.77,4450.19,4345.79,11259
2007-07-31,4432.27,4471.03,4476.63,4379.2,10856
2007-08-01,4488.77,4300.56,4502.3,4284.87,12629
2007-08-02,4316.57,4407.73,4431.85,4290.81,9827
2007-08-03,4440.98,4560.77,4562.69,4438.96,11511
2007-08-06,4600.12,4628.11,4629.97,4564.31,11170
2007-08-07,4642.01,4651.23,4687.44,4581.29,11618
2007-08-08,4614.59,4663.16,4711.32,4568.69,11890
2007-08-09,4658.59,4754.1,4768.89,4658.59,9766
2007-08-10,4745.18,4749.37,4769.62,4640.77,10186
2007-08-13,4768.62,4820.06,4872.55,4728.89,11418
2007-08-14,4820.15,4872.79,4876.85,4789.9,8856
2007-08-15,4875.51,4869.88,4916.31,4762.72,9050
2007-08-16,4845.02,4765.45,4845.02,4710.31,9053
2007-08-17,4733.14,4656.57,4814.37,4646.43,9115
2007-08-20,4773.83,4904.85,4906.0,4758.4,9915
2007-08-21,4944.21,4955.21,4982.98,4917.82,10420
2007-08-22,4876.35,4980.08,4999.19,4861.27,10811
2007-08-23,5002.84,5032.49,5050.38,4968.33,9930
2007-08-24,5070.65,5107.67,5125.36,5052.24,10899
2007-08-27,5144.82,5150.12,5192.06,5092.08,11615
2007-08-28,5134.14,5194.69,5209.51,5058.45,10543
2007-08-29,5147.71,5109.43,5204.53,5063.41,10082
2007-08-30,5144.11,5167.88,5186.53,5109.66,10121
2007-08-31,5184.09,5218.83,5235.16,5158.37,10355
2007-09-03,5257.78,5321.06,5327.54,5257.78,12578
2007-09-04,5333.4,5294.04,5357.93,5265.0,12042
2007-09-05,5296.07,5310.72,5337.93,5223.67,9624
2007-09-06,5336.67,5393.66,5412.32,5314.34,10698
2007-09-07,5381.19,5277.18,5405.36,5269.25,11984
2007-09-10,5208.32,5355.29,5356.86,5169.9,10236
2007-09-11,5362.94,5113.97,5395.04,5093.92,11005
2007-09-12,5092.58,5172.63,5192.3,5025.34,9705
2007-09-13,5193.41,5273.59,5276.77,5178.87,8655
2007-09-14,5290.26,5312.18,5324.44,5201.85,9467
2007-09-17,5309.06,5421.39,5427.17,5307.77,10563
2007-09-18,5446.73,5425.21,5458.58,5339.92,10269
2007-09-19,5439.02,5395.27,5447.36,5336.07,8972
2007-09-20,5408.48,5470.06,5482.42,5396.11,8654
2007-09-21,5482.51,5454.67,5489.07,5363.35,9283
2007-09-24,5469.84,5485.01,5506.06,5404.42,8179
2007-09-25,5500.27,5425.88,5509.23,5396.48,9650
2007-09-26,5407.83,5338.52,5463.9,5320.02,6360
2007-09-27,5338.11,5409.4,5411.19,5306.82,5888
2007-09-28,5461.58,5552.3,5560.42,5461.58,8063
2007-10-08,5683.31,5692.75,5729.96,5620.0,9598
2007-10-09,5678.91,5715.89,5725.41,5628.35,8328
2007-10-10,5742.65,5771.46,5860.86,5727.24,9244
2007-10-11,5798.39,5913.23,5914.77,5755.99,9470
2007-10-12,5950.9,5903.26,5959.36,5658.81,11914
2007-10-15,5934.77,6030.09,6039.04,5866.13,9870
2007-10-16,6056.95,6092.06,6124.04,6040.71,8815
2007-10-17,6057.43,6036.28,6088.89,5982.2,7131
