date,上证综指,创业板
2011-09-30,2359.22,791.13
2011-10-10,2344.79,790.04
2011-10-11,2348.52,786.15
2011-10-12,2420.0,816.14
2011-10-13,2438.79,833.02
2011-10-14,2431.38,830.2
2011-10-17,2440.4,832.29
2011-10-18,2383.49,806.6
2011-10-19,2377.51,804.44
2011-10-20,2331.37,778.95
2011-10-21,2317.27,763.29
2011-10-24,2370.33,772.41
2011-10-25,2409.67,797.86
2011-10-26,2427.48,811.13
2011-10-27,2435.61,810.92
2011-10-28,2473.41,833.42
2011-10-31,2468.25,852.8
2011-11-01,2470.02,853.36
2011-11-02,2504.11,881.05
2011-11-03,2508.09,877.66
2011-11-04,2528.29,882.25
2011-11-07,2509.8,878.76
2011-11-08,2503.84,862.36
2011-11-09,2524.92,891.12
2011-11-10,2479.54,895.27
2011-11-11,2481.08,891.19
2011-11-14,2528.71,915.98
2011-11-15,2529.76,920.97
2011-11-16,2466.96,893.51
2011-11-17,2463.05,898.34
2011-11-18,2416.56,869.19
2011-11-21,2415.13,863.13
2011-11-22,2412.62,868.43
2011-11-23,2395.06,864.81
2011-11-24,2397.55,868.14
2011-11-25,2380.22,863.49
2011-11-28,2383.03,866.84
2011-11-29,2412.39,880.31
2011-11-30,2333.41,838.11
2011-12-01,2386.86,852.87
2011-12-02,2359.35,828.97
2011-12-05,2332.05,791.39
2011-12-06,2325.91,798.1
2011-12-07,2332.73,802.62
2011-12-08,2329.82,809.43
2011-12-09,2315.27,798.84
2011-12-12,2291.54,790.79
2011-12-13,2260.48,769.55
2011-12-14,2231.82,757.04
2011-12-15,2192.37,751.39
2011-12-16,2224.84,778.78
2011-12-19,2218.24,793.44
2011-12-20,2215.93,781.42
2011-12-21,2191.15,761.34
2011-12-22,2186.3,757.9
2011-12-23,2204.78,761.44
2011-12-26,2190.11,753.05
2011-12-27,2166.21,727.17
2011-12-28,2170.01,717.55
2011-12-29,2173.56,716.55
2011-12-30,2199.42,729.5
2012-01-04,2169.39,707.11
2012-01-05,2148.45,666.91
2012-01-06,2163.4,669.02
2012-01-09,2225.89,692.42
2012-01-10,2285.74,716.45
2012-01-11,2276.05,717.94
2012-01-12,2275.01,709.89
2012-01-13,2244.58,666.08
2012-01-16,2206.19,633.91
2012-01-17,2298.38,662.69
2012-01-18,2266.38,624.91
2012-01-19,2296.07,632.8
2012-01-20,2319.12,646.38
2012-01-30,2285.04,651.25
2012-01-31,2292.61,648.68
2012-02-01,2268.08,650.78
2012-02-02,2312.56,665.4
2012-02-03,2330.41,680.04
2012-02-06,2331.14,686.51
2012-02-07,2291.9,673.68
2012-02-08,2347.53,692.3
2012-02-09,2349.59,697.79
2012-02-10,2351.98,698.85
2012-02-13,2351.85,714.96
2012-02-14,2344.77,712.3
2012-02-15,2366.7,724.75
2012-02-16,2356.86,721.83
2012-02-17,2357.18,717.8
2012-02-20,2363.6,721.1
2012-02-21,2381.43,736.88
2012-02-22,2403.59,759.56
