date,open,close,high,low,volume,ma5,ma20,macd,macdsignal,macdhist
2021-07-08,3557.22,3525.5,3558.68,3521.06,35087,3532.51,3558.77,-1.57,5.45,-7.02
2021-07-09,3512.23,3524.09,3529.31,3485.05,34988,3533.58,3554.43,-3.71,3.61,-7.33
2021-07-12,3545.2,3547.84,3565.03,3527.39,40363,3536.28,3552.33,-3.45,2.2,-5.65
2021-07-13,3547.59,3566.52,3567.48,3542.82,36241,3543.53,3552.83,-1.72,1.42,-3.14
2021-07-14,3560.83,3528.5,3560.83,3525.49,37222,3538.49,3553.34,-3.37,0.46,-3.83
2021-07-15,3519.06,3564.59,3565.93,3514.26,36325,3546.31,3555.29,-1.75,0.02,-1.77
2021-07-16,3559.53,3539.3,3566.0,3537.73,36601,3549.35,3556.0,-2.48,-0.48,-2.0
2021-07-19,3530.49,3539.12,3544.88,3506.34,33676,3547.61,3556.49,-3.03,-0.99,-2.04
2021-07-20,3515.07,3536.79,3538.64,3509.19,29378,3541.66,3555.46,-3.62,-1.52,-2.1
2021-07-21,3543.05,3562.66,3569.09,3543.05,33897,3548.49,3555.29,-1.98,-1.61,-0.37
2021-07-22,3563.66,3574.73,3576.47,3558.29,38106,3550.52,3555.69,0.3,-1.23,1.53
2021-07-23,3571.72,3550.4,3571.85,3541.51,44642,3552.74,3552.83,0.14,-0.96,1.09
2021-07-26,3538.01,3467.44,3538.01,3424.74,44288,3538.4,3545.88,-6.61,-2.09,-4.52
2021-07-27,3467.45,3381.18,3483.87,3380.28,46907,3507.28,3536.29,-18.7,-5.41,-13.29
2021-07-28,3355.82,3361.59,3385.54,3312.72,39582,3467.07,3524.8,-29.53,-10.23,-19.29
2021-07-29,3403.84,3411.72,3416.61,3382.57,34456,3434.47,3515.95,-33.67,-14.92,-18.75
2021-07-30,3398.2,3397.36,3404.88,3370.45,38144,3403.86,3509.88,-37.68,-19.47,-18.21
2021-08-02,3385.69,3464.29,3464.29,3367.64,43292,3403.23,3506.38,-35.05,-22.59,-12.46
2021-08-03,3446.78,3447.99,3470.66,3435.46,40069,3416.59,3502.27,-33.89,-24.85,-9.04
